# W4A8 activation distribution report
samples=180 hidden=2048

channel,max_abs,mean_abs,rms
0,4.347620,0.944522,1.218809
1,5.137950,1.480732,1.909218
2,7.493306,1.344138,1.744079
3,5.288929,1.524749,1.934095
4,5.615905,0.939154,1.385699
5,4.453249,1.145568,1.464948
6,10.768996,3.422678,4.115334
7,5.201758,1.164301,1.472748
8,5.184830,1.427073,1.752394
9,6.116971,1.968419,2.475575
10,6.855425,1.198076,1.669256
11,7.241496,1.373441,1.772126
12,4.456529,1.006211,1.357054
13,7.076207,1.515731,1.883394
14,5.646586,1.355398,1.785153
15,5.223697,1.466334,1.823405
16,5.228048,1.103079,1.399395
17,5.208911,1.241287,1.666321
18,4.314746,1.375903,1.689259
19,8.509968,2.183879,3.109862
20,5.385320,1.350469,1.683674
21,4.287840,1.516987,1.826829
22,5.897927,1.598919,2.050965
23,4.331874,1.375109,1.673299
24,5.316767,1.456742,1.937231
25,4.212753,1.127117,1.443521
26,4.885540,1.213836,1.549512
27,7.005298,1.191962,1.651012
28,6.028300,1.818701,2.236742
29,5.392273,1.141764,1.440229
30,5.996371,1.805269,2.408573
31,6.571680,1.598251,1.922902
32,4.195397,1.247755,1.533884
33,5.874049,1.626885,2.032804
34,5.806473,1.228083,1.586271
35,4.928529,1.007367,1.383568
36,5.293558,1.328026,1.727636
37,6.713447,1.284203,1.700527
38,6.523943,1.948752,2.289124
39,4.882903,1.314705,1.568963
40,5.242717,1.521001,1.922171
41,52.857513,13.105401,16.679216
42,4.764657,1.404777,1.701420
43,14.878586,3.457693,4.288308
44,4.082764,1.243719,1.534642
45,13.121673,3.190591,4.347124
46,7.699295,2.639451,3.189559
47,4.716341,1.287028,1.672671
48,6.203924,1.333536,1.676479
49,8.131513,2.194224,2.735465
50,5.384156,1.502256,1.773409
51,4.975215,1.239929,1.578468
52,7.320015,1.370899,1.748980
53,5.390689,1.666751,2.027158
54,9.200068,1.674588,2.328444
55,5.582274,1.348669,1.686492
56,5.050769,1.481145,1.926121
57,4.490005,0.976167,1.275123
58,4.572245,1.622923,1.876135
