scope,name,class,n_weights,n_blocks,payload_bpw,scale_bpw,sub_scale_bpw,init_bpw,affine_bpw,rht_bpw,header_bpw,v2_table_bpw,outl_pos_bpw,outl_val_bpw,outl_hdr_bpw,total_encoded_bpw,total_deploy_bpw
tensor,model.layers.0.mlp.down_proj.weight,ffn_down,4358144,17024,3.00000,0.12500,0.18750,0.04688,0.00000,0.00001,0.00000,0.50000,0.23000,0.08000,0.00002,3.66941,4.16941
tensor,model.layers.0.mlp.gate_proj.weight,ffn_up_gate,4358144,17024,3.00000,0.12500,0.18750,0.04688,0.00000,0.00001,0.00000,0.50000,0.23000,0.08000,0.00002,3.66941,4.16941
tensor,model.layers.0.mlp.up_proj.weight,ffn_up_gate,4358144,17024,3.00000,0.12500,0.18750,0.04688,0.00000,0.00001,0.00000,0.50000,0.23000,0.08000,0.00002,3.66941,4.16941
tensor,model.layers.0.self_attn.k_proj.weight,attn,114688,448,3.00000,0.12500,0.18750,0.04688,0.00000,0.00056,0.00014,0.50000,0.17002,0.08001,0.00084,3.61094,4.11094
tensor,model.layers.0.self_attn.o_proj.weight,attn,802816,3136,3.00000,0.12500,0.18750,0.04688,0.00000,0.00008,0.00002,0.50000,0.20000,0.08000,0.00012,3.63959,4.13959
tensor,model.layers.0.self_attn.q_proj.weight,attn,802816,3136,3.00000,0.12500,0.18750,0.04688,0.00000,0.00008,0.00002,0.50000,0.20000,0.08000,0.00012,3.63959,4.13959
tensor,model.layers.0.self_attn.v_proj.weight,attn,114688,448,3.00000,0.12500,0.18750,0.04688,0.00000,0.00056,0.00014,0.50000,0.17002,0.08001,0.00084,3.61094,4.11094
tensor,model.layers.1.mlp.down_proj.weight,ffn_down,4358144,17024,3.00000,0.12500,0.18750,0.04688,0.00000,0.00001,0.00000,0.50000,0.23000,0.08000,0.00002,3.66941,4.16941
tensor,model.layers.1.mlp.gate_proj.weight,ffn_up_gate,4358144,17024,3.00000,0.12500,0.18750,0.04688,0.00000,0.00001,0.00000,0.50000,0.23000,0.08000,0.00002,3.66941,4.16941
tensor,model.layers.1.mlp.up_proj.weight,ffn_up_gate,4358144,17024,3.00000,0.12500,0.18750,0.04688,0.00000,0.00001,0.00000,0.50000,0.23000,0.08000,0.00002,3.66941,4.16941
