prompt_idx,accept,draft_actual_k,step_ms,emit,inst_tps
1,0,4,287.3,2,7.0
1,0,4,259.4,2,7.7
1,1,4,259.2,3,11.6
1,1,4,257.5,3,11.6
1,1,4,257.0,3,11.7
1,1,4,252.7,3,11.9
1,1,4,256.2,3,11.7
1,1,4,256.2,3,11.7
1,1,4,257.4,3,11.7
1,1,4,256.4,3,11.7
1,1,4,256.0,3,11.7
1,1,4,256.2,3,11.7
1,1,4,256.1,3,11.7
1,1,4,255.4,3,11.7
1,1,4,257.2,3,11.7
1,1,4,256.5,3,11.7
1,1,4,256.1,3,11.7
1,1,4,256.7,3,11.7
1,1,4,258.3,3,11.6
1,1,4,260.0,3,11.5
1,1,4,258.1,3,11.6
1,1,4,258.2,3,11.6
2,0,4,270.6,2,7.4
2,0,4,253.3,2,7.9
2,0,4,256.1,2,7.8
2,0,4,255.8,2,7.8
2,0,4,257.5,2,7.8
2,0,4,265.4,2,7.5
2,0,4,260.0,2,7.7
2,0,4,261.0,2,7.7
2,0,4,257.0,2,7.8
2,0,4,260.4,2,7.7
2,1,4,257.9,3,11.6
2,0,4,257.0,2,7.8
2,0,4,257.1,2,7.8
2,0,4,257.2,2,7.8
2,0,4,258.1,2,7.8
2,0,4,254.7,2,7.9
2,0,4,256.8,2,7.8
2,0,4,256.2,2,7.8
2,0,4,256.7,2,7.8
2,0,4,260.5,2,7.7
2,0,4,258.6,2,7.7
2,0,4,258.7,2,7.7
2,0,4,257.6,2,7.8
2,0,4,258.2,2,7.7
2,0,4,259.5,2,7.7
2,0,4,256.7,2,7.8
2,0,4,262.8,2,7.6
2,0,4,256.9,2,7.8
2,0,4,259.7,2,7.7
2,0,4,257.4,2,7.8
2,0,4,259.8,2,7.7
3,0,4,272.3,2,7.3
3,0,4,259.1,2,7.7
3,0,4,258.2,2,7.7
3,0,4,258.3,2,7.7
3,0,4,257.3,2,7.8
3,0,4,257.6,2,7.8
3,0,4,257.5,2,7.8
3,0,4,258.5,2,7.7
3,0,4,260.7,2,7.7
3,0,4,257.4,2,7.8
3,0,4,257.0,2,7.8
3,0,4,256.3,2,7.8
3,0,4,257.2,2,7.8
3,0,4,260.2,2,7.7
3,0,4,257.9,2,7.8
3,0,4,259.4,2,7.7
3,0,4,257.5,2,7.8
3,0,4,258.4,2,7.7
3,0,4,261.6,2,7.6
3,0,4,261.2,2,7.7
3,0,4,256.8,2,7.8
3,0,4,258.4,2,7.7
3,0,4,267.4,2,7.5
3,0,4,262.2,2,7.6
3,0,4,258.3,2,7.7
3,0,4,258.2,2,7.7
3,0,4,258.7,2,7.7
3,0,4,260.3,2,7.7
3,1,4,258.5,3,11.6
3,0,4,258.8,2,7.7
3,0,4,259.4,2,7.7
